slug,name,role,category,state,party
droupadi-murmu,Droupadi Murmu,President,Central Government,India,
narendra-modi,Narendra Modi,Prime Minister,Central Government,India,Bharatiya Janata Party
rajnath-singh,Rajnath Singh,Cabinet Minister,Council of Ministers,India,Bharatiya Janata Party
amit-shah,Amit Shah,Cabinet Minister,Council of Ministers,India,Bharatiya Janata Party
nirmala-sitharaman,Nirmala Sitharaman,Cabinet Minister,Council of Ministers,India,Bharatiya Janata Party
s-jaishankar,S. Jaishankar,Cabinet Minister,Council of Ministers,India,Bharatiya Janata Party
anandiben-patel,Anandiben Patel,Governor,Governors,Uttar Pradesh,
r-n-ravi,R. N. Ravi,Governor,Governors,West Bengal,
surya-kant,Surya Kant,Chief Justice,Supreme Court,India,
vikram-nath,Vikram Nath,Judge,Supreme Court,India,
j-k-maheshwari,J.K. Maheshwari,Judge,Supreme Court,India,
b-v-nagarathna,B.V. Nagarathna,Judge,Supreme Court,India,
anil-chauhan,Anil Chauhan,Chief of Defence Staff,Armed Forces,India,
upendra-dwivedi,Upendra Dwivedi,Army Chief,Armed Forces,India,
ap-singh,AP Singh,Air Chief Marshal,Armed Forces,India,
dinesh-k-tripathi,Dinesh K Tripathi,Navy Chief,Armed Forces,India,
pema-khandu,Pema Khandu,Chief Minister,Chief Ministers,Arunachal Pradesh,
himanta-biswa-sarma,Himanta Biswa Sarma,Chief Minister,Chief Ministers,Assam,
siddaramaiah,Siddaramaiah,Chief Minister,Chief Ministers,Karnataka,
yogi-adityanath,Yogi Adityanath,Chief Minister,Chief Ministers,Uttar Pradesh,
abhishek-banerjee,Abhishek Banerjee,Lok Sabha MP,Lok Sabha,West Bengal,All India Trinamool Congress
asaduddin-owaisi,Asaduddin Owaisi,Lok Sabha MP,Lok Sabha,Telangana,AIMIM
kangana-ranaut,Kangana Ranaut,Lok Sabha MP,Lok Sabha,Himachal Pradesh,Bharatiya Janata Party
a-a-rahim,A. A. Rahim,Rajya Sabha MP,Rajya Sabha,Kerala,Communist Party of India (Marxist)
abhishek-manu-singhvi,Abhishek Manu Singhvi,Rajya Sabha MP,Rajya Sabha,Telangana,Indian National Congress
