     CONSTITUENCY,        NAME,      PARTY
,,
ABHAYAPURI,BHUPEN ROY,BJP
ALGAPUR-KATLICHERRA,ZUBAIR ANAM MAZUMDER,INC
AMRI,HABBEY TERON,BJP
BAJALI,DHARMESWAR ROY,AGP
BAKSA,MANESWAR BRAHMA,BPF
BAOKHUNGRI,RUPAM CHANDRA ROY,BPF
BARCHALLA,RITU BARAN SARMAH,BJP
BARHAMPUR,JITU GOSWAMI,BJP
BARKHETRI,NARAYAN DEKA,BJP
BARPETA,DIPAK KUMAR DAS,AGP
BEHALI,MUNINDRA DAS (BAPTI),BJP
BHERGAON,MAHESWAR BARO,BPF
BHOWANIPUR-SORBHOG,RANJEET KUMAR DASS,BJP
BIHPURIA,BHUPEN KUMAR BORAH,BJP
BIJNI,ARUP KUMAR DEY,BJP
BILASIPARA,JIBESH ROY,AGP
BINNAKANDI,MOHAMMED BADRUDDIN AJMAL,AIUDF
BIRSING JARUA,WAZED ALI CHOUDHURY,INC
BISWANATH,PALLAB LOCHAN DAS,BJP
BOKAJAN,SURJYA RONGPHAR,BJP
BOKAKHAT,ATUL BORA,AGP
BOKO-CHAYGAON,RAJU MESH,BJP
BONGAIGAON,DIPTIMAYEE CHOUDHURY,AGP
BORKHOLA,KISHOR NATH,BJP
CHABUA-LAHOWAL,BINOD HAZARIKA,BJP
CHAMARIA,REKIBUDDIN AHMED,INC
CHENGA,ABDUR RAHIM AHMED,INC
DALGAON,MAZIBUR RAHMAN,AIUDF
DEMOW,SUSANTA BORGOHAIN,BJP
DERGAON,MRIDUL KUMAR DUTTA,BJP
DHAKUAKHANA,SHRI NABA KUMAR DOLEY,BJP
DHEKIAJULI,ASHOK SINGHAL,BJP
DHEMAJI,DR. RANOJ PEGU,BJP
DHING,MEHBOOB MUKTAR,Raijor Dal
DHOLAI,AMIYA KANTI DAS,BJP
DHUBRI,BABY BEGUM,INC
DIBRUGARH,PRASANTA PHUKAN,BJP
DIGBOI,SUREN PHUKAN,BJP
DIMORIA,DR. TAPAN DAS,AGP
DIPHU,NISO TERANGPI,BJP
DISPUR,PRADYUT BORDOLOI,BJP
DOOMDOOMA,RUPESH GOWALA,BJP
DOTMA,RABIRAM NARZARY,BPF
DUDHNAI,TANKESWAR RABHA,BJP
DULIAJAN,RAMESWAR TELI,BJP
GAURIPUR,ABDUS SOBAHAN ALI SARKAR,INC
GOALPARA EAST,ABUL KALAM RASHEED ALAM,INC
GOALPARA WEST,PABITRA RABHA,BJP
GOHPUR,UTPAL BORAH,BJP
GOLAGHAT,AJANTA NEOG,BJP
GOLAKGANJ,ASHWINI RAY SARKAR,BJP
GORESWAR,VICTOR KUMAR DAS,BJP
GOSSAIGAON,SABHARAM BASUMATARY,BPF
GUWAHATI CENTRAL,VIJAY KUMAR GUPTA,BJP
HAFLONG,RUPALI LANGTHASA,BJP
HAILAKANDI,MILON DAS,BJP
HAJO-SUALKUCHI,PRAKASH CHANDRA DAS,AGP
HOJAI,SHILADITYA DEV,BJP
HOWRAGHAT,LUNSING TERON,BJP
JAGIROAD,PIJUSH HAZARIKA,BJP
JALESHWAR,AFTAB UDDIN MOLLAH,INC
JALUKBARI,HIMANTA BISWA SARMA,BJP
JONAI,BHUBON PEGU,BJP
JORHAT,HITENDRA NATH GOSWAMI,BJP
KALIABOR,KESHAB MAHANTA,AGP
KAMALPUR,DIGANTA KALITA,BJP
