             GOVERNORS,STATE
Shri Justice (Retd.) S. Abdul Nazeer,Andhra Pradesh
"Lt. General Kaiwalya Trivikram Parnaik, PVSM, UYSM, YSM (Retired)",Arunachal Pradesh
Shri Lakshman Prasad Acharya,Assam
Lt. General (Retired) Syed Ata Hasnain,Bihar
Shri Ramen Deka,Chhattisgarh
Shri Pusapati Ashok Gajapathi Raju,Goa
Shri Acharya Dev Vrat,Gujarat
Prof. Ashim Kumar Ghosh,Haryana
Shri Kavinder Gupta,Himachal Pradesh
Shri Santosh Kumar Gangwar,Jharkhand
Shri Thaawarchand Gehlot,Karnataka
Shri Rajendra Vishwanath Arlekar,Kerala
Shri Mangubhai Chhaganbhai Patel,Madhya Pradesh
Shri Jishnu Dev Varma,Maharashtra
Shri Ajay Kumar Bhalla,Manipur
Shri C H Vijayashankar,Meghalaya
"General (Dr.) Vijay Kumar Singh, PVSM, AVSM, YSM (Retd.)",Mizoram
Shri Nand Kishore Yadav,Nagaland
Dr Hari Babu Kambhampati,Odisha
Shri Gulab Chand Kataria,Punjab
Shri Haribhau Kisanrao Bagde,Rajasthan
Shri Om Prakash Mathur,Sikkim
Shri Rajendra Vishwanath Arlekar,Tamil Nadu
Shri Shiv Pratap Shukla,Telangana
Shri Indra Sena Reddy Nallu,Tripura
Smt. Anandiben Patel,Uttar Pradesh
"Lt. Gen. Gurmit Singh, PVSM, UYSM, AVSM, VSM (Retd.)",Uttarakhand
Shri R. N. Ravi,West Bengal
