,CONSTITUENCY,NAME,PARTY
No.,,,
1,Manjeshwar,AKM Ashraf,IUML
2,Kasaragod,Kallatra Mahin,IUML
3,Udma,Neelakandan,INC
4,Kanhangad,Adv. Govindan Pallikappil,CPI
5,Trikaripur,Sandeep Varier,INC
6,Payyannur,V. Kunhikrishnan,IND
7,Kalliasseri,M. Vijin,CPI(M)
8,Taliparamba,TK Govindan Master,IND
9,Irikkur,Adv. Sajeev Joseph,INC
10,Azhikode,K. V. Sumesh,CPI(M)
11,Kannur,N. Shakthan,INC
12,Dharmadam,Pinarayi Vijayan,CPI(M)
13,Thalassery,Karayi Rajan,CPI(M)
14,Kuthuparamba,PK Praveen,RJD(K)
15,Mattannur,VK Sanjoj,CPI(M)
16,Peravoor,Adv. Sunny Joseph,INC
17,Mananthavady (ST),Usha Vijayan,INC
18,Sulthanbathery (ST),IC Balakrishnan,INC
19,Kalpetta,Adv. T Siddique,INC
20,Vadakara,KK Rema,RMPOI
21,Kuttiadi,Parakkal Abdulla,IUML
22,Nadapuram,KM Abhijith,INC
23,Quilandy,Adv. K. Praveen Kumar,INC
24,Perambra,Adv. Fathima Thahiliya,IUML
25,Balusseri (SC),VT Sooraj,INC
26,Elathur,Adv. Vidya Balakrishnan,INC
27,Kozhikode North,Adv. K Jayanth,INC
28,Kozhikode South,Adv. Fyzal Babu,IUML
29,Beypore,PA Mohamed Riyas,CPI(M)
30,Kunnamangalam,MA Razak Master,IUML
31,Koduvally,PK Firos,IUML
32,Thiruvambady,CK Kasim,IUML
33,Kondotty,TP Ashrafali,IUML
34,Eranad,PK Basheer,IUML
35,Nilambur,Aryadan Shoukath,INC
36,Wandoor (SC),AP Anilkumar,INC
37,Manjeri,Adv. M. Rahmathulla,IUML
38,Perinthalmanna,Najeeb Kanthapuram,IUML
39,Mankada,Manjalamkuzhi Ali,IUML
40,Malappuram,PK Kunhalikutty,IUML
41,Vengara,KM Saji,IUML
42,Vallikkunnu,TV Ibrahim,IUML
43,Tirurangadi,PMA Sameer,IUML
44,Tanur,PK Navas,IUML
45,Tirur,Kurukkoli Moideen,IUML
46,Kottakkal,Prof. Abid Hussain Thangal,IUML
47,Thavanur,Adv. VS Joy,INC
48,Ponnani,KP Noushad Ali,INC
49,Thrithala,VT Balram,INC
50,Pattambi,Muhammed Muhassin,CPI
51,Shornur,P. Mammikutty,CPI(M)
52,Ottapalam,Adv. K. Premkumar,CPI(M)
53,Kongad (SC),Thulasi Teacher,INC
54,Mannarkad,Adv. N. Samsudheen,IUML
55,Malampuzha,A Prabhakaran,CPI(M)
56,Palakkad,Ramesh Pisharody,INC
57,Tarur (SC),Sumod,CPI(M)
58,Chittur,Adv. Sumesh Achuthan,INC
59,Nenmara,K Preman,CPI(M)
60,Alathur,TM Sasi,CPI(M)
61,Chelakkara (SC),UR Pradeep,CPI(M)
62,Kunnamkulam,AC Moideen,CPI(M)
63,Guruvayoor,NK Akbar,CPI(M)
64,Manalur,Result Awaited,
65,Wadakkanchery,Xavier Chittilappilly,CPI(M)
66,Ollur,K Rajan,CPI
67,Thrissur,Rajan J Pallan,INC
68,Nattika (SC),Geethagopi,CPI
69,Kaipamangalam,KK Valsaraj,CPI
70,Irinjalakkuda,Adv. Thomas Unniyadan,KEC
71,Puthukkad,KK Ramachandran,CPI(M)
72,Chalakkudy,Saneeshkumar Joseph,INC
73,Kodungallur,Adv. OJ Janeesh,INC
74,Perumbavoor,Manoj Moothedan,INC
75,Angamaly,Roji M John,INC
76,Aluva,Anwar Sadath,INC
77,Kalamassery,Adv. VE Abdul Gafoor,IUML
78,Paravur,VD Satheesan,INC
79,Vypen,Tony Chammany,INC
80,Kochi,Mohammed Shiyas,INC
81,Thripunithura,Deepak Joy,INC
82,Eranakulam,TJ Vinod,INC
83,Thrikkakara,Uma Thomas,INC
84,Kunnathunad (SC),VP Sajeendran,INC
85,Piravom,Anoop Jacob,KEC(J)
86,Muvattupuzha,Dr. Mathew Kuzhalnadan,INC
87,Kothamangalam,Shibu Theckumpuram,KEC
88,Devikulam (SC),F. Raja,INC
89,Udumbanchola,Adv. Senapathy Venu,INC
90,Thodupuzha,Apu John Joseph,KEC
91,Idukki,Roy K Paulose,INC
92,Peerumade,Adv. Cyriac Thomas,INC
93,Pala,Mani C Kappen,IND
94,Kaduthuruthy,Adv. Mons Joseph,KEC
95,Vaikom (SC),K Binimon,INC
96,Ettumanoor,Nattakom Suresh,INC
97,Kottayam,Thiruvanchoor Radhakrishnan,INC
98,Puthuppally,Adv. Chandy Oommen,INC
99,Changanassery,Vinu Job Kuzhimannil,KEC
100,Kanjirappally,Rony K Baby,INC
101,Poonjar,Adv. Sebastian MJ,INC
102,Aroor,Adv. Shanimol Osman,INC
103,Cherthala,P Prasad,INC
104,Alappuzha,AD Thomas,INC
105,Ambalapuzha,G. Sudhakaran,IND
106,Kuttanad,Reji Cheriyan,KEC
107,Haripad,Ramesh Chennithala,INC
108,Kayamkulam,Adv. M. Liju,INC
109,Mavelikara (SC),MS Arun Kumar,CPI(M)
110,Chengannur,Saji Cherian,CPI(M)
111,Thiruvalla,Adv. Varghese Mammen,KEC
112,Ranni,Adv. Pazhakulam Madhu,INC
113,Aranmula,Abin Varkey Kodiyattu,INC
114,Konni,Adv. KU Jenish Kumar,CPI(M)
115,Adoor (SC),Adv. CV Santhakumar,INC
116,Karunagappally,CR Mahesh,INC
117,Chavara,Shibu Baby John,RSP
118,Kunnathur (SC),Ullas Kovur,RSP
119,Kottarakkara,KN Balagopal,CPI(M)
120,Pathanapuram,Jyothi Kumar Chamakkala,INC
121,Punalur,C. Ajayaprasad,CPI
122,Chadayamangalam,MM Naseer,INC
123,Kundara,PC Vishnunadh,INC
124,Kollam,Adv. Bindhu Krishna,INC
125,Eravipuram,Adv. Vishnu Mohan,RSP
126,Chathannur,BB Gopakumar,BJP
127,Varkala,Adv. V Joy,CPI(M)
128,Attingal (SC),OS Ambika,CPI(M)
129,Chirayinkeezhu (SC),Ramya Haridas,INC
130,Nedumangad,Result Awaited,
131,Vamanapuram,Muhammed Sudheersha S,INC
132,Kazhakkoottam,V Muraleedharan,BJP
133,Vattiyoorkavu,K Muraleedharan,INC
134,Thiruvananthapuram,CP John,CMP
135,Nemom,Rajeev Chandrasekhar,BJP
136,Aruvikkara,Adv. G. Steephen,CPI(M)
137,Parassala,CK Hareendran,CPI(M)
138,Kattakkada,MR Baiju,INC
139,Kovalam,Adv. M. Vincent,INC
140,Neyyattinkara,N. Shakthan,INC
