,
V D Satheeshan,"Chief Minister; Finance,Law,Ports"
Ramesh Chennithala,"Home, Vigilance"
A P Anilkumar,Revenue
Sunny Joseph,Electricity
K Muraleedharan,Health and Devaswom
P K Kunhalikutty,Industries
Mons Joseph,Water Resources
Shibu Baby John,Forest
Anoop Jacob,Food and Civil Supplies
C P John,Transport
N Samsudheen,General Education and Minority Welfare
P C Vishnunadh,"Tourism,Culture and Cinema"
Roji M John,Higher Education
Bindhu Krishna,Labour
M Liju,Cooperation and Exercise
K M Shaji,Local Self -Government
P K Basheer,Public Works
V E Abdul Gafoor,Fisheries
T Siddique,Agriculture
K A Thulasi,Backward Communities Development
O J Janeesh,Youth Welfare
