position tittle,NAME,PARTY,text-xs,,,,,,,,,,,flex href,leading-5,text-sm,text-xs,flex href,leading-6,text-sm,flex href
Members of Legislative Assembly (MLAs),Sri Kandula Durgesh,Janasena Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-kandula-durgesh-171262585504773,Sri Kandula Durgesh,Janasena Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-kandula-durgesh-171262585504774,Sri Kandula Durgesh,Janasena Party,https://www.india.gov.in/directory/whos-who/mla/sri-kandula-durgesh-171262585504774
Members of Legislative Assembly (MLAs),Sri Jyothula Nehru,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-jyothula-nehru-171262585396360,Sri Jyothula Nehru,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-jyothula-nehru-171262585396361,Sri Jyothula Nehru,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-jyothula-nehru-171262585396361
Members of Legislative Assembly (MLAs),Sri Gottipati Ravi Kumar,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-gottipati-ravi-kumar-171262585353008,Sri Gottipati Ravi Kumar,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-gottipati-ravi-kumar-171262585353009,Sri Gottipati Ravi Kumar,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-gottipati-ravi-kumar-171262585353009
Members of Legislative Assembly (MLAs),Smt. Jagadeeswari Thoyaka,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/smt-jagadeeswari-thoyaka-171262585386932,Smt. Jagadeeswari Thoyaka,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/smt-jagadeeswari-thoyaka-171262585386933,Smt. Jagadeeswari Thoyaka,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/smt-jagadeeswari-thoyaka-171262585386933
Members of Legislative Assembly (MLAs),Dr. K. Murali Mohan,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/dr-k-murali-mohan-171262585478704,Dr. K. Murali Mohan,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/dr-k-murali-mohan-171262585478705,Dr. K. Murali Mohan,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/dr-k-murali-mohan-171262585478705
Members of Legislative Assembly (MLAs),Smt. Gummidi Sandhyarani,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/smt-gummidi-sandhyarani-171262585300961,Smt. Gummidi Sandhyarani,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/smt-gummidi-sandhyarani-171262585300962,Smt. Gummidi Sandhyarani,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/smt-gummidi-sandhyarani-171262585300962
Members of Legislative Assembly (MLAs),Sri Jayakrishna Nimmaka,Janasena Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-jayakrishna-nimmaka-171262585414895,Sri Jayakrishna Nimmaka,Janasena Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-jayakrishna-nimmaka-171262585414896,Sri Jayakrishna Nimmaka,Janasena Party,https://www.india.gov.in/directory/whos-who/mla/sri-jayakrishna-nimmaka-171262585414896
Members of Legislative Assembly (MLAs),Sri Kandikunta Venkata Prasad,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-kandikunta-venkata-prasad-171262585538266,Sri Kandikunta Venkata Prasad,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-kandikunta-venkata-prasad-171262585538267,Sri Kandikunta Venkata Prasad,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-kandikunta-venkata-prasad-171262585538267
Members of Legislative Assembly (MLAs),Sri Kagitha Krishnaprasad,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-kagitha-krishnaprasad-171262585433770,Sri Kagitha Krishnaprasad,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-kagitha-krishnaprasad-171262585433771,Sri Kagitha Krishnaprasad,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-kagitha-krishnaprasad-171262585433771
Members of Legislative Assembly (MLAs),Sri Gurajala Jagan Mohan (GJM),Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-gurajala-jagan-mohan-gjm-171262585470038,Sri Gurajala Jagan Mohan (GJM),Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-gurajala-jagan-mohan-gjm-171262585470039,Sri Gurajala Jagan Mohan (GJM),Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-gurajala-jagan-mohan-gjm-171262585470039
Members of Legislative Assembly (MLAs),Sri K. Adimulam,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-k-adimulam-171262585424352,Sri K. Adimulam,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-k-adimulam-171262585424353,Sri K. Adimulam,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-k-adimulam-171262585424353
