LINK,NAME,PARTY,STATE
https://www.india.gov.in/directory/whos-who/mla/sri-kandula-durgesh-171262585504773,Sri Kandula Durgesh,Janasena Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-jyothula-nehru-171262585396360,Sri Jyothula Nehru,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-gottipati-ravi-kumar-171262585353008,Sri Gottipati Ravi Kumar,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-jagadeeswari-thoyaka-171262585386932,Smt. Jagadeeswari Thoyaka,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/dr-k-murali-mohan-171262585478704,Dr. K. Murali Mohan,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-gummidi-sandhyarani-171262585300961,Smt. Gummidi Sandhyarani,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-jayakrishna-nimmaka-171262585414895,Sri Jayakrishna Nimmaka,Janasena Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-kandikunta-venkata-prasad-171262585538266,Sri Kandikunta Venkata Prasad,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-kagitha-krishnaprasad-171262585433770,Sri Kagitha Krishnaprasad,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-gurajala-jagan-mohan-gjm-171262585470038,Sri Gurajala Jagan Mohan (GJM),Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-k-adimulam-171262585424352,Sri K. Adimulam,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-inturi-nageswara-rao-171262585367455,Sri Inturi Nageswara Rao,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-jogeswara-rao-v-171262585378336,Sri Jogeswara Rao. V,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-giddi-satyanarayana-171262585321659,Sri Giddi satyanarayana,Janasena Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-kala-venkatarao-kimidi-171262585405026,Sri Kala Venkatarao Kimidi,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-julakanti-brahmananda-reddy-171262585442547,Sri Julakanti Brahmananda Reddy,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-kakarla-suresh-171262585462093,Sri Kakarla Suresh,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-k-e-shyam-kumar-171262585453818,Sri K. E. Shyam Kumar,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-gummanur-jayaram-171262585336147,Sri Gummanur Jayaram,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-kanna-lakshminarayana-171262585565558,Sri Kanna Lakshminarayana,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-kolusu-parthasarathy-171262585584714,Sri Kolusu Parthasarathy,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-pasim-sunil-kumar-171262585914884,Sri Pasim Sunil Kumar,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/dr-partha-sarathi-valmiki-171262585923310,Dr. Partha Sarathi Valmiki,Bharatiya Janata Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-palla-srinivasa-rao-171262585868226,Sri Palla Srinivasa Rao,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/dr-nimmala-ramanaidu-171262585817561,Dr. Nimmala Ramanaidu,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-prashanthi-reddy-vemireddy-171262585981779,Smt. Prashanthi Reddy Vemireddy,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-regam-matyalingam-171262586034839,Sri Regam Matyalingam,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-prathipati-pulla-rao-171262585310218,Sri Prathipati Pulla Rao,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-palle-sindura-reddy-171262585837258,Smt. Palle Sindura Reddy,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-rajagopal-sreeram-tataiah-171262585993742,Sri Rajagopal Sreeram (Tataiah),Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-pantam-venkateswara-rao-pantam-nanaji-171262585846024,Sri Pantam Venkateswara Rao (Pantam Nanaji),Janasena Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-putta-sudhakar-yadav-171262585906508,Sri Putta Sudhakar Yadav,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-ramanjaneyulu-pulaparthi--anji-babu-171262586072600,Sri Ramanjaneyulu Pulaparthi  [Anji babu],Janasena Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-payyavula-keshav-171262585945822,Sri Payyavula Keshav,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-pullivarthi-venkatamani-prasad-nani-171262586193357,Sri Pullivarthi Venkatamani Prasad (Nani),Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-rvskkranga-rao---babynayana-171262585961772,Sri R.V.S.K.K.Ranga Rao  @ Babynayana,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-peddireddi-ramachandra-reddy-171262585882603,Sri Peddireddi Ramachandra Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-ramakrishna-reddy-nallamilli-171262585969386,Sri Ramakrishna Reddy Nallamilli,Bharatiya Janata Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-s-savitha-171262586184881,Smt. S. Savitha,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-roshan-kumar-songa-171262586017326,Sri Roshan Kumar Songa,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-satya-kumar-yadav-171262586042854,Sri Satya Kumar Yadav,Bharatiya Janata Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-tangirala-sowmya-171262586080164,Smt. Tangirala Sowmya,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-yalamanchili-satyanarayana-chowdary-171262586176646,Sri Yalamanchili Satyanarayana Chowdary,Bharatiya Janata Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-surya-naga-sanyasi-raju-kalidindi-171262586007307,Sri Surya Naga Sanyasi Raju Kalidindi,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-tenali-sravan-kumar-171262586057231,Sri Tenali Sravan Kumar,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/dr-ugra-narasimha-reddy-mukku-171262586127664,Dr. Ugra Narasimha Reddy Mukku,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-satyanarayana-pithani-171262586026493,Sri Satyanarayana Pithani,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-sundarapu-vijay-kumar-171262586050098,Sri Sundarapu Vijay kumar,Janasena Party,Andhra Pradesh
