,         NAME,           PARTY
,,
Puducherry District,,
1,A. Namassivayam,BJP
2,P Angalane,Independent
3,A.K. Sai J Saravanan Kumar,BJP
4,C. Djeacoumar,NR Congress
5,R. Siva,DMK
6,M.Sivasankar,Independent
7,S. Ramesh,NR Congress
8,V. Aroumougam A. K. D.,NR Congress
9,N. Rangaswamy,NR Congress
10,A. Johnkumar,BJP
11,M. Vaithianathan,INC
12,P.M.L. Kalyanasundaram,BJP
13,J. Prakash Kumar,Independent
14,K. Lakshminarayanan,NR Congress
15,Anibal Kennedy,DMK
16,G. Nehru,Independent
17,Richards Johnkumar,BJP
18,L Sambath,DMK
19,R. Baskar,NR Congress
20,Embalam R. Selvam,BJP
21,U Lakshmikandhan,NR Congress
22,P. Rajavelu,NR Congress
23,R Senthilkumar,DMK
Karaikal District,,
24,Chandira Priyanga,NR Congress
25,P.R Siva,Independent
26,P. R. N. Thirumurugan,NR Congress
27,A.M.H. Nazeem,DMK
28,M Nagathiyagarajan,DMK
Mahe District,,
29,Ramesh Parambath,INC
Yanam District,,
30,Gollapalli Srinivas Ashok,Independent
Nominated,,
31,R.B. Ashok Babu,BJP
32,K. Venkatesan,BJP
33,V.P. Ramalingam,BJP
