SI.NO,LINK,NAME,PARTY,STATE/UNION TERRITORY
1,https://sansad.in/getFile/newmembers/photos/P1929.jpg?source=rajyasabha,"Abdul Wahab, Shri",IUML,Kerala
2,https://sansad.in/getFile/newmembers/photos/P2556.jpg?source=rajyasabha,"Agrawal, Dr. Radha Mohan Das",BJP,Uttar Pradesh
3,https://sansad.in/getFile/newmembers/photos/P2562.jpg?source=rajyasabha,"Ahmad, Dr. Faiyaz",RJD,Bihar
4,https://sansad.in/getFile/newmembers/photos/P2628.jpg?source=rajyasabha,"Ahmad, Dr. Sarfraz",JMM,Jharkhand
5,https://sansad.in/getFile/newmembers/photos/P2572.jpg?source=rajyasabha,"Ali, Shri Gulam",BJP,Nominated
6,https://sansad.in/getFile/newmembers/photos/P2465.jpg?source=rajyasabha,"Alla, Shri Ayodhya Rami Reddy",YSRCP,Andhra Pradesh
7,https://sansad.in/getFile/newmembers/photos/P2469.jpg?source=rajyasabha,"Amin, Shri Narhari",BJP,Gujarat
8,https://sansad.in/getFile/newmembers/photos/P2248.jpg?source=rajyasabha,"Athawale, Shri Ramdas Bandu",RPI (ATWL),Maharashtra
9,https://sansad.in/getFile/newmembers/photos/P2641.jpg?source=rajyasabha,"Babu, Shri Sana Sathish",TDP,Andhra Pradesh
10,https://sansad.in/getFile/newmembers/photos/P2586.jpg?source=rajyasabha,"Baburao, Shri Golla",YSRCP,Andhra Pradesh
11,https://sansad.in/getFile/newmembers/photos/P1964.jpg?source=rajyasabha,"Bachchan, Smt. Jaya Amitabh",SP,Uttar Pradesh
12,https://sansad.in/getFile/newmembers/photos/P2064.jpg?source=rajyasabha,"Baishya, Shri Birendra Prasad",AGP,Assam
13,https://sansad.in/getFile/newmembers/photos/P2558.jpg?source=rajyasabha,"Bajpayee, Dr. Laxmikant",BJP,Uttar Pradesh
14,https://sansad.in/getFile/newmembers/photos/P2533.jpg?source=rajyasabha,"Balmik, Smt. Sumitra",BJP,Madhya Pradesh
15,https://sansad.in/getFile/newmembers/photos/P2617.jpg?source=rajyasabha,"Balwant, Dr. Sangeeta",BJP,Uttar Pradesh
16,https://sansad.in/getFile/newmembers/photos/P2493.jpg?source=rajyasabha,"Bansal, Shri Naresh",BJP,Uttarakhand
17,https://sansad.in/getFile/newmembers/photos/P2471.jpg?source=rajyasabha,"Bara, Smt. Ramilaben Becharbhai",BJP,Gujarat
18,https://sansad.in/getFile/newmembers/photos/P2577.jpg?source=rajyasabha,"Baraik, Shri Prakash Chik",AITC,West Bengal
19,https://sansad.in/getFile/newmembers/photos/P2677.jpg?source=rajyasabha,"Baral, Shri Babul Supriya",AITC,West Bengal
20,https://sansad.in/getFile/newmembers/photos/P2597.jpg?source=rajyasabha,"Barala, Shri Subhash",BJP,Haryana
21,https://sansad.in/getFile/newmembers/photos/P2527.jpg?source=rajyasabha,"Beedha, Shri Masthan Rao Yadav",TDP,Andhra Pradesh
22,https://sansad.in/getFile/newmembers/photos/P2631.jpg?source=rajyasabha,"Beeran, Shri Haris",IUML,Kerala
23,https://sansad.in/getFile/newmembers/photos/P2600.jpg?source=rajyasabha,"Bhandage, Shri Narayanasa K.",BJP,Karnataka
24,https://sansad.in/getFile/newmembers/photos/P2667.jpg?source=rajyasabha,"Bhatia, Shri Sanjay",BJP,Haryana
25,https://sansad.in/getFile/newmembers/photos/P2618.jpg?source=rajyasabha,"Bhatt, Shri Mahendra",BJP,Uttarakhand
26,https://sansad.in/getFile/newmembers/photos/P2640.jpg?source=rajyasabha,"Bhattacharjee, Shri Rajib",BJP,Tripura
27,https://sansad.in/getFile/newmembers/photos/P2620.jpg?source=rajyasabha,"Bhattacharya, Shri Samik",BJP,West Bengal
28,https://sansad.in/getFile/newmembers/photos/P2543.jpg?source=rajyasabha,"Bonde, Dr. Anil Sukhdeorao",BJP,Maharashtra
29,https://sansad.in/getFile/newmembers/photos/P2664.jpg?source=rajyasabha,"Boro, Shri Pramod",UPP(L),Assam
30,https://sansad.in/getFile/newmembers/photos/P2488.jpg?source=rajyasabha,"Brij Lal, Shri",BJP,Uttar Pradesh
31,https://sansad.in/getFile/newmembers/photos/P2498.jpg?source=rajyasabha,"Brittas, Dr. John",CPI(M),Kerala
32,https://sansad.in/getFile/newmembers/photos/P2522.jpg?source=rajyasabha,"Chadha, Shri Raghav",BJP,Punjab
33,https://sansad.in/getFile/newmembers/photos/P2384.jpg?source=rajyasabha,"Chandrashekhar, Shri G.C.",INC,Karnataka
34,https://sansad.in/getFile/newmembers/photos/P2551.jpg?source=rajyasabha,"Chaudhary, Shri Jayant",RLD,Uttar Pradesh
35,https://sansad.in/getFile/newmembers/photos/P2607.jpg?source=rajyasabha,"Chavan, Shri Ashokrao Shankarrao",BJP,Maharashtra
36,https://sansad.in/getFile/newmembers/photos/P2343.jpg?source=rajyasabha,"Chidambaram, Shri P.",INC,Tamil Nadu
37,https://sansad.in/getFile/newmembers/photos/P503.jpg?source=rajyasabha,"Chowdhury, Smt. Renuka",INC,Telangana
38,https://sansad.in/getFile/newmembers/photos/P2477.jpg?source=rajyasabha,"Dangi, Shri Neeraj",INC,Rajasthan
39,https://sansad.in/getFile/newmembers/photos/P2541.jpg?source=rajyasabha,"Deo, Smt. Sulata",BJD,Odisha
40,https://sansad.in/getFile/newmembers/photos/P2608.jpg?source=rajyasabha,"Deora, Shri Milind Murli",SS,Maharashtra
41,https://sansad.in/getFile/newmembers/photos/P2576.jpg?source=rajyasabha,"Desai, Shri Babubhai Jesangbhai",BJP,Gujarat
42,https://sansad.in/getFile/newmembers/photos/P2507.jpg?source=rajyasabha,"Dev, Ms. Sushmita",AITC,West Bengal
43,https://sansad.in/getFile/newmembers/photos/P870.jpg?source=rajyasabha,"Devegowda, Shri H.D.",JD(S),Karnataka
44,https://sansad.in/getFile/newmembers/photos/P2653.jpg?source=rajyasabha,"Dhanapal, Dr. M.",AIADMK,Tamil Nadu
45,https://sansad.in/getFile/newmembers/photos/P2537.jpg?source=rajyasabha,"Dharmar, Shri R.",AIADMK,Tamil Nadu
46,https://sansad.in/getFile/newmembers/photos/P2594.jpg?source=rajyasabha,"Dholakia, Shri Govindbhai Laljibhai",BJP,Gujarat
47,https://sansad.in/getFile/newmembers/photos/P2529.jpg?source=rajyasabha,"Divakonda, Shri Damodar Rao",BRS,Telangana
48,https://sansad.in/getFile/newmembers/photos/P2435.jpg?source=rajyasabha,"Dubey, Shri Satish Chandra",BJP,Bihar
