party ,ac-corner,name,seat,seat 2
TVK,1,S VIJAYAKUMAR.,· Thiruvallur,Gummidipoondi
TVK,2,Dr RAVI. M. S.,· Thiruvallur,Ponneri
AIADMK,3,G HARI.,· Thiruvallur,Tiruttani
TVK,4,Dr . T. Arunkumar,· Thiruvallur,Thiruvallur
TVK,5,Prakasam R.,· Thiruvallur,Poonamallee
TVK,6,R RAMESH. Kumar,· Thiruvallur,Avadi
TVK,7,Rhevanth Charan,· Thiruvallur,Maduravoyal
TVK,8,Balamurugan G.,· Thiruvallur,Ambattur
TVK,9,M L. VIJAYPRABHU.,· Thiruvallur,Madavaram
TVK,10,Senthil Kumar . N,· Thiruvallur,Thiruvottiyur
TVK,11,N. Marie Wilson,· Chennai,Dr.Radhakrishnan Nagar
TVK,12,C. Joseph Vijay,· Chennai,Perambur
TVK,13,V. S. Babu,· Chennai,Kolathur
TVK,14,Aadhav Arjuna,· Chennai,Villivakkam
TVK,15,M. R. Pallavi,· Chennai,Thiru-Vi-Ka-Nagar
TVK,16,Rajmohan,· Chennai,Egmore
TVK,17,K. V. Vijay Damu,· Chennai,Royapuram
DMK,18,P K Sekarbabu,· Chennai,Harbour
DMK,19,Udhayanidhi Stalin,· Chennai,Chepauk-Thiruvallikeni
TVK,20,Prabhakar J. C. D.,· Chennai,Thousand Lights
TVK,21,V K. RAMKUMAR.,· Chennai,Anna Nagar
TVK,22,Sabarinathan R.,· Chennai,Virugampakkam
TVK,23,Arul Prakasam . M,· Chennai,Saidapet
TVK,24,Anand N,· Chennai,Thiyagarayanagar
TVK,25,Venkataramanan . P,· Chennai,Mylapore
TVK,26,Kumar . R,· Chennai,Velachery
TVK,27,Ecr P Saravanan,· Chengalpattu,Shozhinganallur
TVK,28,M HARISH.,· Kancheepuram,Alandur
TVK,29,Thennarasu K.,· Kancheepuram,Sriperumbudur
TVK,30,J KAMATCHI.,· Chengalpattu,Pallavaram
TVK,31,D SARATHKUMAR.,· Chengalpattu,Tambaram
TVK,32,S. Thiyagarajan,· Chengalpattu,Chengalpattu
TVK,33,B VIJAYARAJ.,· Chengalpattu,Thiruporur
AIADMK,34,Rajasekar . E,· Chengalpattu,Cheyyur
AIADMK,35,Maragatham Kumaravel K.,· Chengalpattu,Madurantakam
TVK,36,Munirathinam J.,· Kancheepuram,Uthiramerur
TVK,37,R. V. Ranjithkumar,· Kancheepuram,Kancheepuram
TVK,38,V. Gandhiraj,· Ranipet,Arakkonam
TVK,39,G KAPIL.,· Ranipet,Sholinghur
TVK,40,Dr M Sudhakar,· Vellore,Katpadi
TVK,41,Thahira,· Ranipet,Ranipet
AIADMK,42,S M. SUKUMAR.,· Ranipet,Arcot
TVK,43,M M. VINOTH. Kannan,· Vellore,Vellore
AIADMK,44,D VELAZHAGAN.,· Vellore,Anaikattu
TVK,45,Thenral Kumar . E,· Vellore,Kilvaithinankuppam
TVK,46,K SINDU.,· Vellore,Gudiyattam
IUML,47,Syed Farooq Basha Ssb,· Tirupathur,Vaniyambadi
DMK,48,Vilwanathan . A. C.,· Tirupathur,Ambur
AIADMK,49,Veeramani K. C.,· Tirupathur,Jolarpet
TVK,50,Dr THIRUPATHI. N,· Tirupathur,Tirupattur
TVK,51,N Elaiyaraja,· Krishnagiri,Uthangarai
AIADMK,52,E. C. Govindarasan,· Krishnagiri,Bargur
TVK,53,Mukundhan P.,· Krishnagiri,Krishnagiri
DMK,54,Srinivasan P. S.,· Krishnagiri,Veppanahalli
AIADMK,55,Balakrishnareddy . P,· Krishnagiri,Hosur
CPI,56,Ramachandran . T,· Krishnagiri,Thalli
AIADMK,57,Anbalagan . K. P.,· Dharmapuri,Palacodu
TVK,58,Gajendran . S.,· Dharmapuri,Pennagaram
PMK,59,Sowmiya Anbumani,· Dharmapuri,Dharmapuri
AIADMK,60,Maragatham Vetrivel,· Dharmapuri,Pappireddipatti
AIADMK,61,Sampathkumar . V,· Dharmapuri,Harur
AIADMK,62,S VELU.,· Tiruvannamalai,Chengam
DMK,63,Velu . E. V.,· Tiruvannamalai,Tiruvannamalai
AIADMK,64,Ramachandran S.,· Tiruvannamalai,Kilpennathur
AIADMK,65,Agri Krishnamurthy . S S,· Tiruvannamalai,Kalasapakkam
TVK,66,Abishek . R,· Tiruvannamalai,Polur
AIADMK,67,Jayasudha . L,· Tiruvannamalai,Arani
AIADMK,68,Mukkur N. Subramanian,· Tiruvannamalai,Cheyyar
