,CONSTITUENCY,NAME,PARTY
1,Mekliganj,Arghya Roy Pradhan (Bilu),AITC
2,Mathabhanga,Binay Krishna Barman,AITC
3,Cooch Behar Uttar,Nagendra Nath Roy,AIFB
4,Cooch Behar Dakshin,Mihir Goswami,AITC
5,Sitalkuchi,Hiten Barman,AITC
6,Sitai,Jagadish Chandra Barma Basunia,AITC
7,Dinhata,Udayan Guha,AITC
8,Natabari,Rabindra Nath Ghosh,AITC
9,Tufanganj,Fazal Karim Miah,AITC
10,Kumargram,James Kujur,AITC
11,Kalchini,Wilson Champramary,AITC
12,Alipurduars,Sourav Chakraborty(Ghutish),AITC
13,Falakata,Anil Adhikari,AITC
14,Madarihat,Manoj Tigga,BJP
15,Dhupguri,Mitali Roy,AITC
16,Maynaguri,Ananta Deb Adhikari,AITC
17,Jalpaiguri,Sukhbilas Barma,INC
18,Rajganj,Khageswar Roy,AITC
19,Dabgram-Fulbari,Goutam Deb,AITC
20,Mal,Bulu Chik Baraik,AITC
21,Nagrakata,Sukra Munda,AITC
22,Kalimpong,Sarita Rai,GJM
23,Darjeeling,Amar Singh Rai,GJM
24,Kurseong,Rohit Sharma,GJM
25,Matigara-Naxalbari,Sankar Malakar,INC
26,Siliguri,Asok Bhattacharya,CPM
27,Phansidewa,Sunil Chandra Tirkey,INC
28,Chopra,Hamidul Rahaman,AITC
29,Islampur,Kanaia Lal Agarwal,INC
30,Goalpokhar,Md Gulam Rabbani,AITC
31,Chakulia,Ali Imran Ramz,AIFB
32,Karandighi,Manodeb Sinha,AITC
33,Hemtabad,Debendra Nath Roy,CPM
34,Kaliaganj,Pramatha Nath Ray,INC
35,Raiganj,Mohit Sengupta,INC
36,Itahar,Amal Acharjee,AITC
37,Kushmandi,Narmada Chandra Roy,RSP
38,Kumarganj,Toraf Hossain Mandal,AITC
39,Balurghat,Biswanath Choudhury,RSP
40,Tapan,Bachchu Hansda,AITC
41,Gangarampur,Goutam Das,INC
42,Harirampur,Rafikul Islam,CPM
43,Habibpur,Khagen Murmu,CPM
44,Gazole,Dipali Biswas,CPM
45,Chanchal,Asif Mehbub,INC
46,Harischandrapur,Alam Mostaque,INC
47,Malatipur,Alberuni Zulkarnain,INC
48,Ratua,Samar Mukherjee,INC
49,Manickchak,Md. Mottakin Alam,INC
