SI.NO,NAME,PARTY,Constituency,state/union territory
1,"A, Shri Mani",DMK,Dharmapuri,Tamil Nadu
2,"A, Shri Raja",DMK,Nilgiris (SC),Tamil Nadu
3,"Agrawal, Shri Brijmohan",BJP,Raipur,Chhattisgarh
4,"Agrawal, Shri Damodar",BJP,Bhilwara,Rajasthan
5,"Ahirwar, Shri Narayandas",SP,Jalaun (SC),Uttar Pradesh
6,"Ahmad, Shri Mian Altaf",J&KNC,Anantnag-Rajouri,Jammu and Kashmir
7,"Ahmed, Smt. Sajda",AITC,Uluberia,West Bengal
8,"Akoijam, Dr. Angomcha Bimol",INC,Inner Manipur,Manipur
9,"Anand, Smt. Lovely",JD(U),Sheohar,Bihar
10,"Anand, Thiru D M Kathir",DMK,Vellore,Tamil Nadu
11,"Annadurai, Shri C N",DMK,Tiruvannamalai,Tamil Nadu
12,"Ansari, Shri Afzal",SP,Ghazipur,Uttar Pradesh
13,"Antony, Shri Anto",INC,Pathanamthitta,Kerala
14,"Anwar, Shri Tariq",INC,Katihar,Bihar
15,"Arthur, Shri Alfred Kanngam S",INC,Outer Manipur (ST),Manipur
16,"Aruna, Smt. D K",BJP,Mahbubnagar,Telangana
17,"Asaram, Shri Bhumare Sandipanrao",SS,Aurangabad,Maharashtra
18,"Aujla, Shri Gurjeet Singh",INC,Amritsar,Punjab
19,"Awasthi, Shri Ramesh",BJP,Kanpur,Uttar Pradesh
20,"B, Shri Manickam Tagore",INC,Virudhunagar,Tamil Nadu
21,"Baalu, Shri T R",DMK,Sriperumbudur,Tamil Nadu
22,"Babu, Shri M Mallesh",JD(S),Kolar (SC),Karnataka
23,"Babubhai, Shri Patel Umeshbhai",Ind.,Daman and Diu (ST),Dadra and Nagar Haveli and Daman and Diu
24,"Badal, Smt. Harsimrat Kaur",SAD,Bathinda,Punjab
25,"Baghel, Prof. S  P Singh",BJP,Agra (SC),Uttar Pradesh
26,"Baghel, Shri Vijay",BJP,Durg,Chhattisgarh
27,"Balayogi, Shri G M Harish",TDP,Amalapuram (SC),Andhra Pradesh
28,"Baluni, Shri Anil",BJP,Garhwal,Uttarakhand
29,"Bambhaniya, Smt. Nimuben Jayantibhai",BJP,Bhavnagar,Gujarat
30,"Bandyopadhyay, Shri Sudip",AITC,Kolkata Uttar,West Bengal
31,"Banerjee, Shri Abhishek",AITC,Diamond Harbour,West Bengal
32,"Banerjee, Shri Kalyan",AITC,Sreerampur,West Bengal
33,"Banerjee, Shri Prasun",AITC,Howrah,West Bengal
34,"Banerjee, Smt. Rachna",AITC,Hooghly,West Bengal
35,"Bapurao, Shri Aashtikar Patil Nagesh",SHSUBT,Hingoli,Maharashtra
36,"Baraiya, Smt. Shobhanaben Mahendrasinh",BJP,Sabarkantha,Gujarat
37,"Barne, Shri Shrirang Appa Chandu",SS,Maval,Maharashtra
38,"Baruah, Shri Pradan",BJP,Lakhimpur,Assam
39,"Barve, Shri Shyamkumar Daulat",INC,Ramtek (SC),Maharashtra
40,"Basheer, Shri E T Mohammed",IUML,Malappuram,Kerala
41,"Basumatary, Shri Joyanta",UPPL,Kokrajhar (ST),Assam
42,"Basunia, Shri Jagadish Chandra Barma",AITC,Coochbehar (SC),West Bengal
43,"Behanan, Shri Benny",INC,Chalakudy,Kerala
44,"Behera, Dr. Rabindra Narayan",BJP,Jajpur (SC),Odisha
45,"Beniwal, Shri Hanuman",RLP,Nagaur,Rajasthan
46,"Beniwal, Shri Ummeda Ram",INC,Barmer,Rajasthan
47,"Bhabhor, Shri Jaswantsinh Sumanbhai",BJP,Dahod (ST),Gujarat
48,"Bhadauria, Shri Anand",SP,Dhaurahra,Uttar Pradesh
49,"Bhagare, Shri Bhaskar Murlidhar",NCPSP,Dindori (ST),Maharashtra
50,"Bhagat, Shri Sukhdeo",INC,Lohardaga (ST),Jharkhand
51,"Bharadwaj, Dr. Rajeev",BJP,Kangra,Himachal Pradesh
52,"Bharti, Shri Arun",LJSP(RV),Jamui (SC),Bihar
53,"Bharti, Smt. Misha",RJD,Pataliputra,Bihar
54,"Bhatt, Shri Ajay",BJP,Nainital-Udhamsingh Nagar,Uttarakhand
55,"Bhonsle, Chh. Udayanraje Pratapsinha Maharaj",BJP,Satara,Maharashtra
56,"Bhowmick, Shri Partha",AITC,Barrackpur,West Bengal
57,"Bhupathiraju, Shri Srinivasa Varma B J P Varma",BJP,Narsapuram,Andhra Pradesh
58,"Bidhuri, Shri Ramvir Singh",BJP,South Delhi,NCT of Delhi
59,"Bind, Dr. Vinod Kumar",BJP,Bhadohi,Uttar Pradesh
60,"Birla, Shri Om",BJP,Kota,Rajasthan
61,"Bista, Shri Raju",BJP,Darjeeling,West Bengal
62,"Bommai, Shri Basavaraj",BJP,Haveri,Karnataka
63,"Bose, Shri Sunil",INC,Chamarajanagar (SC),Karnataka
64,"Brahamchari, Shri Satpal",INC,Sonipat,Haryana
65,"C, Shri Robert Bruce",INC,Tirunelveli,Tamil Nadu
66,"Chabbewal, Dr. Raj Kumar",AAP,Hoshiarpur (SC),Punjab
67,"Chahar, Shri Rajkumar",BJP,Fatehpur Sikri,Uttar Pradesh
68,"Chakraborty, Shri Arup",AITC,Bankura,West Bengal
69,"Chandanagouda, Shri Gaddigoudar Parvatagouda",BJP,Bagalkot,Karnataka
70,"Chandolia, Shri Yogender",BJP,North West Delhi (SC),NCT of Delhi
71,"Channi, Shri Charanjit Singh",INC,Jalandhar (SC),Punjab
72,"Chaudhary, Shri P P",BJP,Pali,Rajasthan
73,"Chaudhary, Shri R K",SP,Mohanlalganj (SC),Uttar Pradesh
74,"Chaudhary, Shri Ram Prasad",SP,Basti,Uttar Pradesh
75,"Chaudhry, Shri Varun",INC,Ambala (SC),Haryana
76,"Chauhan, Shri Chandan",RLD,Bijnor,Uttar Pradesh
77,"Chauhan, Shri Devusinh",BJP,Kheda,Gujarat
78,"Chhatrapati, Shri Shahu Shahaji",INC,Kolhapur,Maharashtra
79,"Chhotelal, Shri",SP,Robertsganj (SC),Uttar Pradesh
80,"Chidambaram, Shri Karti P",INC,Sivaganga,Tamil Nadu
81,"Choudhary, Dr. Raj Bhushan",BJP,Muzaffarpur,Bihar
82,"Choudhary, Ms Iqra",SP,Kairana,Uttar Pradesh
83,"Choudhary, Shri Bhagirath",BJP,Ajmer,Rajasthan
84,"Choudhary, Shri Chandra Prakash",AJSU,Giridih,Jharkhand
85,"Choudhary, Shri Darshan Singh",BJP,Hoshangabad,Madhya Pradesh
86,"Choudhary, Shri Lumbaram",BJP,Jalore,Rajasthan
87,"Choudhary, Shri Pankaj",BJP,Maharajganj,Uttar Pradesh
88,"Choudhary, Smt. Roopkumari",BJP,Mahasamund,Chhattisgarh
89,"Choudhury, Shri Isha Khan",INC,Maldaha Dakshin,West Bengal
90,"Choudhury, Shri Phani Bhusan",AGP,Barpeta,Assam
91,"Chouhan, Shri Shivraj Singh",BJP,Vidisha,Madhya Pradesh
92,"Chouhan, Smt. Anita Nagarsingh",BJP,Ratlam (ST),Madhya Pradesh
93,"Chowta, Shri Captain Brijesh",BJP,Dakshina Kannada,Karnataka
94,"Chudasama, Shri Rajesh Naranbhai",BJP,Junagadh,Gujarat
95,"D, Shri Malaiyarasan",DMK,Kallakurichi,Tamil Nadu
96,"Dabhi, Shri Bharatsinhji Shankarji",BJP,Patan,Gujarat
97,"Dalal, Shri Mukeshkumar Chandrakaant",BJP,Surat,Gujarat
98,"Dastidar, Dr. Kakoli Ghosh",AITC,Barasat,West Bengal
99,"Dattatrey, Shri Tatkare Sunil",NCP,Raigad,Maharashtra
100,"Deb, Shri Biplab Kumar",BJP,Tripura West,Tripura
101,"Debbarman, Smt. Kriti Devi",BJP,Tripura East (ST),Tripura
102,"Deo, Smt. Sangeeta Kumari Singh",BJP,Bolangir,Odisha
103,"Desai, Shri Anil Yeshwant",SHSUBT,Mumbai South Central,Maharashtra
104,"Deshmukh, Shri Sanjay Uttamrao",SHSUBT,Yavatmal-Washim,Maharashtra
105,"Dev, Shri Adhikari Deepak",AITC,Ghatal,West Bengal
106,"Devarayalu, Shri Lavu Sri Krishna",TDP,Narasaraopet,Andhra Pradesh
107,"Devi, Smt. Annpurna",BJP,Kodarma,Jharkhand
108,"Devi, Smt. Malvika",BJP,Kalahandi,Odisha
109,"Devi, Smt. Veena",LJSP(RV),Vaishali,Bihar
110,"Devi, Smt. Vijaylakshmi",JD(U),Siwan,Bihar
111,"Dharmapuri, Shri Arvind",BJP,Nizamabad,Telangana
112,"Dhotre, Shri Anup Sanjay",BJP,Akola,Maharashtra
113,"Dinesh, Dr. Bachhav Shobha",INC,Dhule,Maharashtra
114,"Dohare, Shri Jitendra Kumar",SP,Etawah (SC),Uttar Pradesh
115,"Dubey, Dr. Nishikant",BJP,Godda,Jharkhand
116,"Dubey, Shri Ashish",BJP,Jabalpur,Madhya Pradesh
117,"Dubey, Shri Vijay Kumar",BJP,Kushi Nagar,Uttar Pradesh
